date,covidOccupiedBeds,covidOccupiedMVBeds,estimatedNewAdmissions
2020-04-10,184.0,45.0,38.0
2020-04-09,185.0,46.0,35.0
2020-04-08,149.0,43.0,23.0
2020-04-07,149.0,40.0,62.0
2020-04-06,156.0,34.0,18.0
2020-04-05,145.0,30.0,38.0
2020-04-04,132.0,25.0,21.0
2020-04-03,144.0,27.0,20.0
2020-04-02,129.0,22.0,8.0
2020-04-01,122.0,,46.0
2020-03-31,109.0,,32.0
2020-03-30,97.0,,25.0
2020-03-29,91.0,,20.0
2020-03-28,70.0,,8.0
2020-03-27,57.0,,26.0
2020-03-26,40.0,,19.0
2020-03-25,34.0,,22.0
2020-03-24,26.0,,12.0
2020-03-23,18.0,,15.0
2020-03-22,20.0,,8.0
2020-03-21,13.0,,3.0
2020-03-20,13.0,,7.0
2020-03-19,,,2.0
